Table: Production of Crude Oil including Lease Condensate (Thousand Barrels Per Day),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Palestinian Territories,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,,472,405,330,295,394,301,308,293,346,380,406,395,423.2,413,414.99992,442,510.47814,550,695.60274,665,741.72417,729.58903,709.10959,806.60274,901.39346,977.56164,995.64384,1082.94521,1197.6616,1279.0781,1458.78129,1571.09589,1551.40437,1553,1540.42466
Saudi Arabia,,9900,9815,6483,5086,4663,3388,4870,4265,5086,5064,6410,8115,8331.7,8197.808,8120,8231.23288,8218.07514,8362.033,8388.90411,7833.39,8403.79918,8031.09589,7634.39589,8775,9100.81967,9550.13699,9152.32877,8721.50685,9261.25097,8250.11245,8900,9458.35616,9832.3224,9693.15068,9735.34247
Syria,,164,166,160,167,170,178,194,230,265,340,388,492,480.948,554,560.00018,575,582.304,561.23288,553.36986,538,522.82514,483.94,472.227,463.98082,446.05613,432.0375,406.37668,380,369.2986,368.00378,383.27396,339.63562,145.22951,58.04384,22.66027
United Arab Emirates,,1709,1474,1250,1149,1146,1193,1330,1541,1565,1860,2117,2386,2266,2159,2192.99997,2233,2277.65027,2316.42466,2345.30137,2169,2367.82787,2205,2081.99452,2348.13699,2478.2623,2535.42466,2635.69863,2602.58927,2681.02315,2412.55214,2414.6558,2679.17808,2803.60656,2820,2820
Yemen,,0,0,0,0,0,0,10,20,173,194,193,196.575,182.077,220,335.00015,344.9589,340.43716,362.407,387.8,409,437.75605,440.87208,439.35388,429.39547,404.3812,400.14554,374.90715,318.69213,298.32934,285.15662,279.99658,216.38904,168.72678,130.69863,125.09315
Africa,,6125,4772,4733,4744.26,5121,5370.071,5301.779,5255.721,5586.415,5972.886,6437.38,6660.641,6742.169,6643.48766,6648.82607,6914.19911,7096.72281,7349.83834,7319.76374,7247.12932,7487.1506,7480.84959,7556.75097,8047.56393,8760.01295,9456.40869,9412.91699,9696.29727,9818.217,9588.2438,9793.28748,8515.36866,9057.79328,8520.34356,7960.12218
Algeria,,1106,1002,987,961.26,1014,1036.071,1072,1071.321,1045,1105.586,1180.068,1170,1201.612,1167.315,1155,1161.795,1227.14481,1258.73973,1226.41096,1177.30137,1213.9071,1265,1349,1516.0411,1581.77596,1692.31507,1699.06849,1708.39726,1705,1584.87671,1540,1540,1532.24317,1461.78082,1420
Angola,,150,130,122,177,208,231,282,360,452,455,475,500,526.322,509,536,646,708.78415,714,735.08219,745,746.40437,742.38356,896.36986,902.54795,1051.72131,1239.12603,1398.0137,1723.52375,1945.69451,1866.80822,1898.52055,1745.61644,1777.04918,1830.65753,1741.61644
Benin,,0,0,0,4,7,8,8,7,5,4,4,4,5.594,5.778,5.93,3,2,1.32,1,1,0.69,0.7,0.8,0.4,0,0,0,0,0,0,0,0,0,0,0
Botswana,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,,58,87,109,114,135,185,177,174,163,170,161,153.288,140.355,126.86,107.94498,111,108,124,120.5,100,84.8224,76.64658,69.81918,67,65.98907,82.31507,86.40274,82.8274,81.32514,76.90411,65,61.66027,63,62.75616,80.83014
Cape Verde,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.06849,170.58743,176.65753,157.91781,144.20274,127.16393,119.47123,122.52055,114.96438,104.48361,97.90685,103.42192
Comoros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Brazzaville),,65,83,89,87,121,120,119,123,144,164,165,156,174,181.04,180.00015,188,201,253,265,270,280,255,249.20274,246.84932,235.47814,228.62466,241.64384,207.17074,233.27049,267.86027,305,290,280,265,250
Congo (Kinshasa),,20,20,23,25,32,33,32,32,30,28,29,28,25.995,25,26.00004,30,30,28.32877,26.383,22.2,26,24,22.66575,22,21.0847,19.74795,20,22.15616,19.95765,22,21,20.16164,20,20,20
Cote dIvoire (IvoryCoast),,1,7,9,23,27,28,20,18,12,2,2,2,1.5,0.5,6.81999,8,16,18.76712,20,15,11.49727,11,12,19,26,39,62,52,59.16503,57.81726,43.83288,39.58904,37.9153,37,36
Djibouti,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,,595,598,670,727,822,887,813,896,848,865,873,874,881.216,890,895.7,920,921.66667,856.4,833.6,851.58904,768.33,719.663,715.417,712.673,673.381,623.32055,535.05753,530.35205,565.74098,586.51918,567.94795,551.47123,539.48361,514.42192,478.42192
Equatorial Guinea,,0,0,0,0,0,0,0,0,0,0,0,0.102,1.55,4.5,5,5,17.093,52.42192,83,102,167.5,181.43836,212.56164,206.46588,365.45902,362.53425,342.86575,345.36986,336.83444,321.97873,297.78074,278.38803,289.4,269.79726,248
Eritrea,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,,175,151,156,157,157,172,166,155,159,208,270,294,297.65,312.5,328.54795,365,368.36066,370.411,352,331,315,270,251.2,241.41644,239.05191,266.31691,237.21973,244.22059,248.13661,242.12877,245.87671,244.72329,242.32787,239.25753,240
"Gambia, The",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,,2,2,2,2,2,1,0.3,0,0,0,0,0,1.087,1.6,1.4,4,6,5,5,6,7,7,7,7,7,6,6,6,6,6,7.18904,76.51233,78.35519,97.91233,105.01918
Guinea,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya,,1787,1140,1150,1105,1087,1059,1034,972,1175,1150,1375,1483.151,1432.7,1361,1377.58904,1390,1400.84699,1445.91781,1390,1318.9589,1410.02732,1366.54795,1318.52055,1420.52055,1515.21858,1633.10959,1681.0411,1701.80822,1735.83333,1650,1650,465.39726,1366.80328,918.32877,469.9863
Madagascar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.61918,14.99178,12.83333,11.24522,8.23223,7.73764,6.57708,6.75041,6.00301
Mauritius,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,,1,1,1,1,1,1,0.479,0.4,0.415,0.3,0.312,0.3,0.228,0.20866,0.2,0.3,0.3,0.08,0.1,0.22,0.3,0.4,0.26,0.2,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Mozambique,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia,,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71233,20,20,20
Nigeria,,2055,1433,1295,1241,1388,1495,1467,1341,1450,1716,1810,1891.8,1943,1960,1930.9,1992.75342,2000.532,2132.452,2153.45753,2129.86,2165,2256.15616,2117.86301,2275.0004,2328.962,2627.43836,2439.86301,2349.64384,2165.43989,2208.31129,2455.26027,2550.34521,2520,2367.36986,2423.20548
Reunion,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.978,25,26,26.20548,19.49589,29.6411,55.82787,34.40274,20.15616,16.05753,14.58197,4,3.49315,4,3.91257,3.58082,3
Sudan and South Sudan,,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.109,0.2,2,5,10,69,186,209.13151,238.76712,269.73973,342.51366,350,378.10959,463.7726,477.80055,483.45205,486.20274,453.26027,112.44809,247.17534,259.06575
Swaziland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,,110,118,120,120,120,114,111,106,103,105,93,104,109.06,97.886,91.68493,89.15068,86.99454,84,80.25205,83,78.67213,69.577,75.80822,75,79.7623,75,76.43836,83.30274,82.93915,78.37075,74.93067,64.32928,63.29435,60.14795,55.05205
Uganda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Sahara,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asia & Oceania,,4848.3,4822.3,4687,4980.22,5426.41,5758.45,5984.27,5971.5,6084.55,6264.008,6468.205,6659.532,6615.235,6680.182,6821.91433,7043.4349,7205.38219,7322.81355,7324.32323,7319.34908,7537.77622,7454.04967,7444.87114,7331.41265,7437.33633,7536.67623,7538.91558,7497.42563,7612.67408,7577.10821,7906.76202,7721.28566,7739.22296,7659.4013,7656.23392
Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,,380,394,370,416,492,575,520,547,538,490,575,545,534.612,503,536.38356,561.79452,569.63115,587.69315,543.9726,538.98,721.56557,657,625.96712,512.16438,435.96222,445.56986,429.2542,465.1175,476.81967,475.42192,484.16986,413.81644,405.71858,337.98904,354.34795
Bangladesh,,0,0,0,0.22,0.41,0.45,0.47,0.5,0.55,0.508,0.79,0.73,0.9,1,1.4,1.1,1.4,1.6,1.5,1.4,2.5,3.38082,6,6,6,6,6,6,5.66667,5,5,5,4.66667,4,4
Bhutan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei,,235,163,154,162,160,153,166,139,137,132,150,161.2,165.273,165,167.207,163.00011,155.39617,160,157.4,182,193,195.225,163,169.944,178.17311,190.86796,198.23836,155.24384,133.48634,130.60822,136.16164,156.45205,145.65847,121.98082,111.83836
Burma (Myanmar),,30,27,30,30,32,30,24,17,13,15,13,15,14.4,13.6,13.60001,9.56,8.01,9,11,9.498,12,10,15,15,20,20,23,21.16164,21.35293,18.08493,20.32877,20,20,20,20
Cambodia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,,2114,2012,2045,2120,2296,2505,2620,2690,2730,2756.5,2774,2835,2845,2890,2939.28767,2990,3131.3388,3200.34247,3198.187,3195,3248.7623,3300.004,3389.65205,3408.87123,3485.31421,3608.62192,3672.73507,3728.82,3790.18197,3795.95863,4078.36027,4058.68521,4085.14809,4164.11507,4189.05205
Cook Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawaiian Trade Zone,,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Hong Kong,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,,182,325,390,480,519,620,630,609,635,700,660,615,561.151,534,589.90015,703.45205,651.02459,674.62466,661.42192,652.66027,646.34153,642.39726,664.75342,660.0274,683.10915,664.65838,688.61326,697.53103,693.71253,680.43285,751.30003,782.34083,776.97042,772.0756,767.57942
Indonesia,,1577,1605,1339,1343,1412,1325,1390,1343,1342,1409,1462,1592,1504,1511.377,1510.19991,1502.68493,1547.48634,1520,1518.35616,1472,1428.38,1340,1249.0274,1155.36986,1095.63934,1066.74658,1019.21863,963.21096,986.04645,969.07945,953.14795,917.91781,874.79235,827.83014,789.83014
Japan,,10,7,9,9,8,11,13,12,12,11,11,14.923,17,12.451,10.83799,11,11.58743,9.95,8.98,7.91781,7,6.33425,5.33151,5,6,6.58082,6,5.66575,6,5.32877,4.99452,5,5,4.66575,4.66575
Kiribati,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, North",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, South",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laos,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macau,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,,283,264,306,365,440,440,504,497,540,585,619,646,653.388,640,644.986,682.49315,695.02732,700,720,693,690.02732,659.20548,698.46,737.857,763.47541,726.44384,691.80822,668.26849,686.24044,658.70411,638.26027,569.93425,585.56011,570.26027,597.46849
Maldives,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123,0.197,0.179,0.202,0.381,0.501,0.589,0.55,1.032,2.329,3.208,5.123,5.976,6.9833,9.93451,14.0515,20.84689
Nauru,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,,7,10,15,15,17,19,29,28,33,38,40,41,38.192,40.991,39.499,31.92877,36.52186,57.6,46.91781,42,36,33.16438,30.38904,23.99178,19.51749,18.97808,17.08493,41.13699,59.98634,55.88767,53.03836,46.32329,41.07923,35.26575,39.86027
Niue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,,10,10,12,13,17,35,42,42,45,48,62,62,61.353,60.358,55.00002,57.1,55,57,54.91233,53,54.42077,59.87,64.268,60,62,65.62589,65.66551,65.19488,58.57923,55.36986,65,65,72,80.8,93.63342
Papua New Guinea,,0,0,0,0,0,0,0,0,0,0,0,0.2,53,125.877,110.00005,100,103.36066,80,79.06301,96.6,70.062,67.5,55.15342,50.49315,45.57923,40.28137,44.39178,41.9863,38.08197,34.83014,30.35616,30,27.3306,28.09315,34.20822
Philippines,,15,2,8,13,12,9,8,6,6,5,4.7,3,8.046,9.099,6.1,3.4,2,1,0.79,0.859,1.144,8.46027,9.852,13.781,25,25,25,24.6223,24.55149,24.39846,32.94521,26.64384,19.99454,21,21
Samoa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan,,5,3,3,3,3,2,2,3,2,2,3,2.247,2,1.128,1.3,1.22,1.22,1,0.93,0.8,0.738,0.8,0.88,0.92,0.8,0.558,0.406,0.306,0.277,0.276,0.245,0.195,0.196,0.196,0.196
Thailand,,0.3,0.3,6,11,18,34,35,33,36,40,43.715,46.232,50.69,52.301,55.70602,51.4,60.92705,71.743,75.02439,83.637,109.65574,113.761,127.16164,158.98499,154.98045,183.37709,204.12933,213.40795,228.82826,237.94098,241.80126,224.12791,238.61603,240.63985,232.85764
Timor-Leste (East Timor),,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,51.90984,94.42466,100.90137,78.48327,100.00753,96.26596,87.49863,83.74247,79.49454,79.25753,76.49041
Tonga,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Pacific Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam,,0,0,0,0,0,0,0.8,5,15,32,50,80,106.23,120,140.50696,173.30137,175.45082,191.26027,245.745,289.8,316,356.74521,339.59452,352.50685,403.28689,372.39178,345.43691,318.93972,299.64726,328.39726,318.17808,309.12329,347.06284,337.18082,298.3589
Wake Island,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World,,59557.563,56049.867,53453.6,53249.851,54498.939,53965.262,56325.612,56650.06672,58696.855,59801.832,60496.75,60127.628,60102.706,60172.94466,61173.46914,62433.67507,63818.22657,65805.95439,67031.76698,65967.3928,68526.65437,68131.91105,67290.17308,69460.24448,72595.18119,73864.25621,73477.6022,73163.97868,74062.04086,72870.67128,74653.44988,74733.50852,76159.69581,76247.59664,77832.84669
